code,field1,field2,field3,field4,field5,field6,field7
0,24.0,40.9,3.071,11242,-56,9,2
1,24.1,41.0,3.075,11243,-55,9,2
2,24.2,41.5,3.071,11244,-70,9,3
3,24.3,41.5,3.075,11245,-76,9,2
4,24.4,41.5,3.075,11246,-55,9,2
5,24.4,41.5,3.075,11247,-55,10,2
6,24.4,41.4,3.075,11248,-56,9,2
7,24.5,41.4,3.075,11249,-55,10,2
8,24.5,41.5,3.071,11250,-56,10,2
9,24.5,41.5,3.071,11251,-56,9,3
10,24.5,41.5,3.075,11252,-56,10,3
11,24.6,41.5,3.075,11253,-55,9,3
12,24.6,41.5,3.071,11254,-54,9,3
13,24.6,41.4,3.071,11255,-54,9,3
14,24.6,41.5,3.075,11256,-55,9,3
15,24.6,41.5,3.075,11257,-56,9,3
16,24.7,41.5,3.075,11258,-54,9,3
17,24.7,41.5,3.075,11259,-56,9,3
18,24.7,41.5,3.071,11260,-55,10,3
19,24.7,41.5,3.071,11261,-55,9,3
20,24.7,41.5,3.075,11262,-56,9,3
21,24.6,41.5,3.071,11263,-54,9,3
22,24.6,41.5,3.075,11264,-54,9,2
23,24.6,41.5,3.071,11265,-53,9,3
24,24.6,41.5,3.075,11266,-55,10,3
25,24.6,41.4,3.071,11267,-56,10,3
26,24.6,41.4,3.075,11268,-55,10,3
27,24.7,41.4,3.071,11269,-73,8,2
28,24.6,41.4,3.071,11270,-56,9,3
29,24.6,41.4,3.075,11271,-77,8,2
30,24.6,41.4,3.075,11272,-55,10,3
31,24.6,41.3,3.075,11273,-54,9,3
32,24.7,41.3,3.075,11274,-81,8,2
33,24.7,41.3,3.071,11275,-79,9,3
34,24.7,41.3,3.071,11276,-78,9,2
35,24.7,41.3,3.071,11277,-54,9,3
36,24.7,41.3,3.075,11278,-55,9,3
37,24.7,41.3,3.075,11279,-68,10,1
38,24.7,41.4,3.075,11280,-70,9,3
39,24.7,41.4,3.071,11281,-68,9,2
40,24.7,41.4,3.075,11282,-69,9,3
41,24.8,41.5,3.071,11283,-55,9,3
42,24.8,41.5,3.075,11284,-67,9,1
43,24.8,41.5,3.071,11285,-55,9,3
44,24.8,41.6,3.071,11286,-66,9,2
45,24.6,41.6,3.071,11287,-55,9,3
46,24.5,41.5,3.075,11288,-76,9,2
47,24.5,41.6,3.071,11289,-72,9,1
48,24.5,41.7,3.071,11290,-55,9,3
49,24.6,41.7,3.075,11291,-69,9,1
50,24.7,41.6,3.075,11292,-55,10,3
51,24.7,41.6,3.075,11293,-56,9,2
52,24.7,41.6,3.075,11294,-75,9,1
53,24.6,41.4,3.071,11295,-55,9,3
54,24.5,41.4,3.071,11296,-76,9,1
55,24.5,41.5,3.071,11297,-54,9,3
56,24.6,41.5,3.075,11298,-76,9,2
57,24.6,41.4,3.071,11299,-72,9,1
58,24.7,41.3,3.075,11300,-75,9,2
59,24.7,41.3,3.071,11301,-69,9,1
60,24.8,41.3,3.075,11302,-54,10,3
61,24.8,41.3,3.071,11303,-73,9,1
62,24.8,41.4,3.071,11304,-75,8,1
63,24.9,41.5,3.071,11305,-70,9,2
64,24.9,41.5,3.071,11306,-76,9,1
65,24.9,41.5,3.075,11307,-55,9,3
66,24.9,41.5,3.071,11308,-73,10,1
67,24.9,41.5,3.075,11309,-73,9,1
68,24.9,41.4,3.075,11310,-78,8,2
69,24.9,41.5,3.071,11311,-58,10,1
70,24.9,41.6,3.075,11312,-70,8,3
71,24.9,41.5,3.075,11313,-56,10,1
72,24.9,41.5,3.075,11314,-71,10,1
73,24.9,41.4,3.075,11315,-74,9,1
74,24.9,41.4,3.075,11316,-79,8,1
75,24.9,41.3,3.071,11317,-78,8,2
76,24.9,41.3,3.075,11318,-70,9,2
77,24.9,41.3,3.075,11319,-71,9,2
78,24.9,41.4,3.075,11320,-74,9,2
79,24.9,41.6,3.075,11321,-76,9,2
80,24.9,41.6,3.071,11322,-72,10,3
81,24.9,41.7,3.075,11323,-70,10,2
82,24.9,41.6,3.071,11324,-70,9,2
83,24.9,41.6,3.071,11325,-71,9,2
84,24.9,41.5,3.075,11326,-79,10,2
85,24.9,41.4,3.075,11327,-69,9,2
86,24.9,41.4,3.071,11328,-57,10,3
87,24.9,41.3,3.071,11329,-53,9,2
88,24.7,40.9,3.075,11330,-53,9,3
89,24.7,40.7,3.075,11331,-55,9,3
90,24.7,40.9,3.071,11332,-56,9,3
91,24.8,40.8,3.075,11333,-54,9,3
92,24.9,40.8,3.071,11334,-54,10,3
93,25.0,40.8,3.075,11335,-56,9,3
94,25.0,40.7,3.075,11336,-53,9,3
95,25.0,40.7,3.071,11337,-54,9,3
96,24.9,41.0,3.071,11338,-50,10,3
97,24.6,40.0,3.071,11339,-49,10,3
98,24.2,39.6,3.075,11340,-66,9,3
99,23.9,39.7,3.071,11341,-50,9,3
100,23.8,40.0,3.075,11342,-50,9,3
101,23.6,40.1,3.075,11343,-61,9,3
102,23.6,40.0,3.075,11344,-50,10,3
103,23.5,40.0,3.071,11345,-63,9,3
104,23.4,39.9,3.075,11346,-49,9,3
105,23.3,39.8,3.075,11347,-65,9,2
106,23.3,39.7,3.071,11348,-60,9,2
107,23.2,39.7,3.071,11349,-61,10,3
108,23.2,39.7,3.075,11350,-64,9,3
109,23.1,39.7,3.075,11351,-51,9,3
110,23.1,39.8,3.075,11352,-52,9,1
111,23.7,38.4,3.071,11353,-65,9,2
112,24.4,41.6,3.071,0,-64,10,2
113,23.8,37.6,3.075,1,-76,9,1
114,23.6,38.0,3.075,2,-77,9,3
115,23.5,38.7,3.071,3,-74,9,2
116,23.4,38.1,3.075,4,-77,9,3
117,23.3,38.5,3.071,0,-73,9,2
118,24.9,41.0,3.071,1,-71,10,1
119,26.9,32.8,3.071,2,-76,10,1
120,24.3,35.2,3.071,3,-78,9,3
121,23.4,37.2,3.075,4,-81,9,2
122,23.0,37.9,3.075,5,-64,9,3
123,22.4,38.6,3.075,6,-66,9,2
124,22.0,39.2,3.075,7,-66,9,2
125,21.9,39.5,3.071,8,-65,9,2
126,21.8,39.8,3.075,9,-65,9,1
127,21.8,39.8,3.075,10,-65,9,2
128,21.7,39.7,3.075,11,-88,8,2
129,21.7,39.6,3.075,12,-97,8,1
130,21.7,39.8,3.075,13,-92,8,2
131,21.7,41.4,3.071,14,-98,8,1
132,21.8,41.3,3.075,15,-64,9,2
133,21.8,40.5,3.071,16,-89,9,3
134,21.8,42.6,3.071,17,-84,9,2
135,21.9,41.1,3.075,18,-64,10,3
136,21.9,42.3,3.071,19,-83,9,2
137,21.9,42.1,3.075,20,-67,9,3
138,21.8,41.4,3.075,21,-81,9,2
139,21.9,43.2,3.075,22,-87,8,2
140,21.9,41.5,3.075,23,-64,10,3
141,21.9,42.8,3.075,24,-85,9,2
142,21.9,42.4,3.075,25,-63,9,3
143,21.8,41.8,3.075,26,-69,9,2
144,22.0,42.1,3.075,27,-82,9,2
145,22.3,42.1,3.075,28,-66,10,3
146,22.4,42.1,3.075,29,-69,10,2
147,22.6,42.2,3.075,30,-93,9,2
148,22.7,42.2,3.075,31,-84,10,2
149,22.8,42.3,3.075,32,-69,10,2
150,22.8,42.3,3.075,33,-67,9,2
151,23.0,42.3,3.075,34,-67,9,2
152,23.0,42.4,3.075,35,-67,10,3
153,23.0,42.4,3.075,36,-90,8,2
154,23.1,42.4,3.075,37,-80,9,2
155,23.1,42.5,3.075,38,-84,8,2
156,23.2,42.5,3.071,39,-87,9,2
157,23.2,42.5,3.071,40,-86,9,2
158,23.3,42.5,3.075,41,-86,8,2
159,23.3,42.6,3.075,42,-85,9,2
