created_at,entry_id,field1,field2,field3
2022-05-07 09:30:36 UTC,1,1,0,0
2022-05-07 09:31:35 UTC,2,1,1,0
2022-05-07 09:32:35 UTC,3,0,1,0
2022-05-07 09:33:34 UTC,4,0,0,0
2022-05-07 09:34:33 UTC,5,0,1,0
2022-05-07 09:35:33 UTC,6,0,1,1
2022-05-07 09:36:32 UTC,7,1,1,1
2022-05-07 09:37:32 UTC,8,1,0,1
2022-05-07 09:38:32 UTC,9,1,1,1
2022-05-07 09:39:30 UTC,10,0,1,1
2022-05-07 09:40:29 UTC,11,1,1,1
2022-05-07 09:41:28 UTC,12,0,1,1
2022-05-07 09:42:28 UTC,13,0,1,0
2022-05-07 09:43:27 UTC,14,1,1,0
2022-05-07 09:44:26 UTC,15,1,1,1
